90206	259	454	515	688	90
90207	518	454	774	688	90
90208	0	681	256	915	90

90999	0	0	267	234	80

#Endgame
99001	2	2	532	234	100

99011	484	237	498	252	100
99012	501	237	516	252	100
99013	519	237	533	252	100

99101	0	0	300	142	101
99102	0	1	300	91	102

99201	0	1	300	143	101
99202	0	2	300	92	102

99099	36	249	61	272	100

99301	198	307	265	390	100
99302	266	383	283	390	100

#A
99401	123	248	131	256	100
#C
99402	142	248	150	256	100
#E
99403	161	248	169	256	100
#G
99404	179	248	187	256	100
#H
99405	189	248	197	256	100
#I
99406	198	248	206	256	100
#L
99407	226	248	235	256	100
#M
99408	236	248	244	256	100
#N
99409	245	248	253	256	100
#O
99410	254	248	262	256	100
#Q
99411	273	248	281	256	100
#R
99412	283	248	291	256	100
#T
99413	301	248	309	256	100
#U
99414	311	248	319	256	100
#Y
99415	348	248	356	256	100
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#die
599	10099	100


# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
#602	99011	100

# ==== GOOMBA  =========
# walk X
701	30001	100	30002	100
# walk Y
702	30001	100	30002	100
# die
703	30001	100

# ==== JUMPER  ============
#right
911	70021	100	70023	100
#left
912	70024	100	70026	100
#jump right
913	70022	100
#jump left
914	70025	100

# ==== DOME  ============
#right
921	70031	100	70032	100
#bottom
922	70033	100	70034	100
#left
923	70035	100	70036	100
#top
924	70037	100	70038	100

# ==== INTRO  =========
#Intro
1001	90502	300	90501	1500	90502	3000	90999	50	90004	35	90003	35	90002	35	90001	3000	90002	30	90003	30	90004	30	90999	40	90014	15	90013	15	90012	15	90011	3000	90012	30	90013	30	90014	30	90999	40	90024	15	90023	15	90022	15	90021	3000	90022	30	90023	30	90024	30	90999	40	90034	15	90033	15	90032	15	90031	2300	90035	2300	90036	3000	90037	30	90038	30	90039	30	90999	40	90043	15	90042	15	90041	15	90044	3000	90041	30	90042	30	90043	30	90999	40	90051	15	90052	15	90053	15	90054	3000	90053	30	90052	30	90051	30	90999	40	90061	15	90062	15	90063	15	90064	3000	90063	30	90062	30	90061	30	90999	40	90071	15	90072	15	90073	15	90074	3000	90073	30	90072	30	90071	30	90999	200	90501	1500	90999	200	90101	100	90102	100	90101	100	90102	100	90101	100	90102	100	90201	150	90202	140	90203	130	90204	120	90205	110	90206	100	90207	100	90208	120	90205	2000

# ==== ENDGAME  ========
#Endgame
1009	99102	1740	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100	99202	100	99102	100
1008	99101	1740	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100	99201	100	99101	100
#HeadEnd
#1010	99011	100	99012	100	99013	100
#Endgame1
1020	99099	100
#Endgame3
1030	99301	1000000
1031	99302	1000000

1041	99401	1000000
1042	99402	1000000
1043	99403	1000000
1044	99404	1000000
1045	99405	1000000
1046	99406	1000000
1047	99407	1000000
1048	99408	1000000
1049	99409	1000000
1050	99410	1000000
1051	99411	1000000
1052	99412	1000000
1053	99413	1000000
1054	99414	1000000
1055	99415	1000000
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
#1	400	401	402	403	500	501	502	503	599
# BRICK 
#2	601
# QUESTION MARK BRICK 
#22	602
# GOOMBA
#3	701	702	703
# JUMPER
#4	911	912	913	914
#DOME
#5	923	924	921	922
#Intro
#10	1001
#Endgame
12	1009
11	1008
#HeadEnd
#Endgame1
20	1020
#Endgame3
31	1030
32	1031

41	1041
42	1042
43	1043
44	1044
45	1045
46	1046
47	1047
48	1048
49	1049
50	1050
51	1051
52	1052
53	1053
54	1054
55	1055

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 4 = Jumper, 5 = Dome, 10 = Intro

#Intro
#10	0	0	10

#Endgame
#11	0	0	11
#HeadEnd
#12	426	95	12
#Endgame1
#13	126	119	20

#Endgame
#11	0	142	12

#Endgame3
11	15	91	31

11	40	0	32	
11	40	7	32	
11	40	14	32	
11	40	21	32	
11	40	28	32	
11	40	35	32	
11	40	42	32	
11	40	49	32	
11	40	56	32	
11	40	63	32	
11	40	70	32	
11	40	77	32	
11	40	84	32	
11	40	174	32	
11	40	181	32	
11	40	188	32	
11	40	195	32	
11	40	202	32	
11	40	209	32	
11	40	216	32	
11	40	223	32	
11	40	230	32	
11	40	237	32	
11	40	244	32	
11	40	251	32	
11	40	258	32	
11	40	265	32	
11	40	272	32	

#THANH
14	100	330	49
14	108	330	44
14	117	330	54
14	125	330	55
14	134	330	43
14	142	330	49

14	157	330	47
14	166	330	43

14	181	330	53
14	190	330	45
14	198	330	41
14	206	330	49
14	214	330	45

#QUYNH
14	100	350	53
14	109	350	52
14	117	350	41
14	125	350	49

14	140	350	45
14	148	350	54
14	156	350	55

14	171	350	51
14	179	350	54
14	187	350	55
14	196	350	49
14	204	350	45

#THANG
14	100	370	42
14	108	370	45
14	116	370	41
14	124	370	54

14	139	370	51
14	147	370	54
14	155	370	50
14	164	370	42

14	179	370	53
14	188	370	45
14	196	370	41
14	204	370	49
14	212	370	44

#QUY
14	100	390	49
14	108	390	44
14	117	390	54
14	125	390	55
14	134	390	43
14	142	390	49

14	157	390	45
14	165	390	54
14	173	390	54

14	188	390	48
14	196	390	46
14	204	390	49
14	212	390	45

14	227	390	51
14	235	390	54
14	243	390	55
